,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Region,Age,Churn,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,InternetService,NbContacts,LastContactDays,SatisfactionScore,FeedbackText,AvgDataUsage_GB,NumCalls,TVPackage,TechSupport
0,C0001,Male,1,Yes,Yes,9,North,41.0,Yes,Month-to-month,102.33,3060.07,Bank transfer,Fiber optic,4.0,160.0,1.0,"Very bad support, no oone answers my calls Thank you. It works, not amazing, not terrible Honestly, terrible experience, worst provider i used They overcharged me twice and ignored my emails",14.9,44.0,No,No
1,C0002,Female,0,No,No,19,West,64.0,No,Month-to-month,69.48,820.59,Electronic check,DSL,3.0,23.0,4.0,"Good service overall, nothing major to complain about Billing is clear and correct each month",,41.0,Yes,No
2,C0003,Male,0,Yes,No,12,West,23.0,No,One year,37.17,2928.24,Electronic check,DSL,,93.0,1.0,"PHONE LINE IS FINE, INTERNET VARIES SUPPORT AGENT WAS KIND AND SOLVED MY ISSUE QUICKLY SUPPORT AGENT WAS KIND AND SOLVED MY ISSSUE QUICKLY OCCASIONAL HICCUPS BUT NOTHING TOO BAD",24.4,39.0,No,Yes
3,C0004,Male,0,Yes,No,27,North,44.0,No,Month-to-month,127.31,1871.61,Electronic check,Fiber optic,,,,,55.0,43.0,Yes,No
4,C0005,Male,0,No,No,58,North,27.0,No,Two year,58.88,,Electronic check,Fiber optic,3.0,88.0,2.0,"Support agent was kind and solved my issue qquickly Phone line is fine, internet varies Good value for the money!",16.4,38.0,Yes,No
5,C0006,Female,0,Yes,No,25,South,56.0,Yes,Month-to-month,102.45,5098.61,Bank transfer,Fiber optic,3.0,80.0,3.0,"Honestly, internet is slow and unstable almmost every evening!!!",62.4,39.0,Yes,No
6,C0007,Male,0,No,No,45,North,54.0,No,Month-to-month,35.86,124.14,Electronic check,Fiber optic,1.0,137.0,4.0,Billing is clear and correct each month Got a minor outage lats week Everything works fine for our family,46.8,39.0,Yes,Yes
7,C0008,Male,0,Yes,No,48,East,71.0,No,Month-to-month,51.32,891.89,Credit card,DSL,2.0,162.0,4.0,"HONESTLY, OCCASIONAL HICCUPS BUT NOTHING TOO BAD PRICE IS A BIT HIGH COMPARED TO OTHERS",38.6,45.0,Yes,Yes
8,C0009,Male,0,No,Yes,50,North,68.0,No,Month-to-month,66.96,,Bank transfer,Fiber optic,2.0,179.0,5.0,Average experience so far Billing is clear and ocrrect each month,40.0,34.0,No,Yes
9,C0010,Female,0,No,No,44,North,77.0,No,Month-to-month,96.49,3506.3,Credit card,DSL,,,,,41.9,43.0,Yes,No
10,C0011,Male,1,,Yes,59,South,89.0,No,Month-to-month,54.01,1317.7,Mailed check,DSL,,,,,91.9,49.0,No,No
11,C0012,Male,1,No,No,33,West,68.0,No,Month-to-month,42.19,1470.33,Credit card,Fiber optic,2.0,60.0,4.0,"EVERYTHING WORKS FINE FOR OUR FAMILY GOOD SERVICE OVERALL, NOTHING MAJOR TO COMPLAIN ABOUT",155.7,42.0,Yes,No
12,C0013,Male,0,No,No,28,South,79.0,No,Month-to-month,103.15,3101.43,Bank transfer,DSL,2.0,131.0,,"HONESTLY, EVERYTHING WORKS FINE FOOR OUR FAMILY PHONE LINE IS FINE, INTERNET VARIES THANK YOU.",68.9,38.0,No,No
13,C0014,Male,0,No,No,18,South,66.0,Yes,Month-to-month,28.97,1199.3,Electronic check,DSL,2.0,49.0,2.0,"Outages every week, unacceptabble service",86.3,34.0,Yes,Yes
14,C0014,Male,0,No,No,18,South,66.0,Yes,Month-to-month,28.97,1199.3,Electronic check,DSL,2.0,49.0,2.0,"Outages every week, unacceptabble service",86.3,34.0,Yes,Yes
15,C0015,Female,1,Yes,,55,West,68.0,No,Month-to-month,47.38,142.95,Electronic check,Fiber optic,,,,,,,,
16,C0016,Male,0,Yes,No,33,East,45.0,No,Month-to-month,128.94,,Credit card,Fiber optic,2.0,100.0,2.0,Everything woks fine for ur family Everything works fine for our family!!,77.7,33.0,Yes,No
17,C0017,Female,1,No,Yes,15,South,53.0,Yes,Two year,116.76,315.61,Electronic check,,3.0,146.0,2.0,"OUTAGS EVERY WEEK, UNACCEPTABLE SERVICE",52.0,39.0,Yes,No
18,C0018,Female,0,No,Yes,61,South,42.0,No,Month-to-month,23.0,1012.23,Electronic check,Fiber optic,2.0,72.0,1.0,"Helpful chat support, fast resolution Everything works fine for our family",29.0,39.0,No,Yes
19,C0019,Female,0,No,No,11,North,53.0,No,Month-to-month,120.68,9848.7,Electronic check,DSL,0.0,167.0,3.0,Everything works fine fr our family,76.8,43.0,Yes,No
20,C0020,Male,0,No,Yes,36,East,77.0,No,One year,70.58,,Electronic check,Fiber optic,3.0,60.0,3.0,"The new router workks well, stable connection",82.4,39.0,Yes,Yes
21,C0021,Female,1,No,No,15,South,24.0,Yes,Two year,37.88,1235.61,Credit card,DSL,0.0,77.0,3.0,"Honestly, sometimes the peed drops at night thank you. Internet is slow and unstable almost every evening Phone line is fine, internet vvaries",5.3,33.0,Yes,No
22,C0022,Male,0,,,53,South,82.0,Yes,Month-to-month,117.91,3352.13,Electronic check,,3.0,88.0,2.0,Internet is slow and unstable almost every evening Internet is slow and unstable almost every evening,58.4,40.0,Yes,No
23,C0023,Female,0,,No,62,North,90.0,No,Month-to-month,63.25,4295.34,Electronic check,DSL,3.0,34.0,5.0,"Honestly, phone line is fine, internnet varies",26.4,48.0,Yes,No
24,C0024,Female,0,Yes,No,48,South,,No,Month-to-month,40.01,1815.17,Credit card,Fiber optic,,,,,18.2,40.0,Yes,Yes
25,C0025,Female,0,Yes,No,15,East,90.0,Yes,Month-to-month,89.81,1981.69,Bank transfer,DSL,3.0,172.0,2.0,"Outages every week, unacceptable serivce",51.0,30.0,No,No
26,C0026,Female,0,No,No,63,North,47.0,No,Month-to-month,26.78,468.35,Electronic check,Fiber optic,1.0,77.0,4.0,Email support replies after smoe days,45.3,50.0,No,Yes
27,C0027,Female,0,No,No,43,North,64.0,No,Month-to-month,44.73,1140.3,Credit card,DSL,2.0,97.0,3.0,"Honestly, good service overall, nothing major to complain about Greaat service and fair price",7.1,45.0,Yes,No
28,C0028,Female,1,No,No,50,West,46.0,No,Month-to-month,65.9,1394.5,Electronic check,Fiber optic,1.0,130.0,,Average experienec so far,0.7,47.0,Yes,No
29,C0029,Female,0,Yes,No,60,East,,No,One year,96.51,3891.96,Electronic check,Fiber optic,1.0,42.0,,mEail support replies after some days,8.6,43.0,Yes,No
30,C0030,Female,0,Yes,No,59,North,82.0,No,Two year,34.76,2600.93,Bank transfer,Fiber optic,,88.0,5.0,Everything works fine for our family Thank you. Everything works fine for our family Installation took loner than expected,16.2,37.0,No,No
31,C0031,Male,0,Yes,Yes,15,East,86.0,Yes,,,,,,3.0,126.0,5.0,"I have opened several tickets and nothing was fixed Billing errors keep happening, I am really tired of this Thank you. Latency and disconnects make it impossible to work Speed never matches what was promised in the contract",12.9,39.0,No,Yes
32,C0031,Male,0,Yes,Yes,15,East,86.0,Yes,,,,,,3.0,126.0,5.0,"I have opened several tickets and nothing was fixed Billing errors keep happening, I am really tired of this Thank you. Latency and disconnects make it impossible to work Speed never matches what was promised in the contract",12.9,39.0,No,Yes
33,C0032,Male,0,No,No,29,North,80.0,No,,,,,,,35.0,,"HONESTLY, SERVICE IS OKAY BUT COULD BE BETTER GOOD SERVICE OVERALL, NOTHING MAJOR TO COMPLAN ABOUT",48.0,37.0,Yes,Yes
34,C0033,Female,0,,No,40,East,73.0,No,Two year,49.01,1874.06,Electronic check,DSL,8.0,81.0,4.0,"Helpful cat support, fast resolution",39.8,44.0,Yes,Yes
35,C0034,Female,0,Yes,Yes,31,East,34.0,No,Month-to-month,92.66,3421.01,Credit card,Fiber optic,0.0,137.0,4.0,Average experience so far Good value for the money,60.4,37.0,Yes,Yes
36,C0035,Female,0,Yes,No,11,East,68.0,No,Month-to-month,48.79,2023.98,Bank transfer,DSL,0.0,86.0,3.0,"Sometimes the speed drops at night Honestly, averae experience so far Service is okay but could be better Thank you.",98.8,46.0,No,No
37,C0036,Male,1,Yes,No,62,East,54.0,Yes,Month-to-month,67.57,2747.52,Bank transfer,DSL,1.0,8.0,5.0,"Terribe experience, worst provider I used",,,,
